,Team,Group,"Previous 
appearances","Previous 
titles","Previous
 finals","Previous
 semifinals","Current 
FIFA rank","First match 
against",Match index,"history with 
first opponent
 W-L","history with
 first opponent
 goals","Second match
 against",Match index.1,"history with
 second opponent
 W-L","history with
 second opponent
 goals","Third match
 against",Match index.2,"history with
 third opponent
 W-L","history with
 third opponent
 goals",Unnamed: 19
0,Russia,A,10.0,0.0,0.0,1.0,65.0,Saudi Arabia,1.0,-1.0,-2.0,Egypt,17.0,,,Uruguay,33.0,0.0,0.0,
1,Saudi Arabia,A,4.0,0.0,0.0,0.0,63.0,Russia,1.0,1.0,2.0,Uruguay,18.0,1.0,1.0,Egypt,34.0,-5.0,-5.0,
2,Egypt,A,2.0,0.0,0.0,0.0,31.0,Uruguay,2.0,-1.0,-2.0,Russia,17.0,,,Saudi Arabia,34.0,5.0,5.0,
3,Uruguay,A,12.0,2.0,2.0,5.0,21.0,Egypt,2.0,1.0,2.0,Saudi Arabia,18.0,-1.0,-1.0,Russia,33.0,0.0,0.0,
4,Porugal,B,6.0,0.0,0.0,2.0,3.0,Spain,3.0,-12.0,-31.0,Morocco,19.0,-1.0,-2.0,Iran,35.0,2.0,5.0,
5,Spain,B,14.0,1.0,1.0,2.0,6.0,Portugal,3.0,12.0,31.0,Iran,20.0,,,Morocco,36.0,5.0,7.0,
6,Morocco,B,4.0,0.0,0.0,0.0,40.0,Iran,4.0,-2.0,-2.0,Portugal,19.0,1.0,2.0,Spain,36.0,-5.0,-7.0,
7,IRAN,B,4.0,0.0,0.0,0.0,32.0,Morocco,4.0,2.0,2.0,Spain,20.0,,,Portugal,35.0,-2.0,-5.0,
8,France,C,14.0,1.0,2.0,5.0,9.0,Australia,5.0,1.0,6.0,Peru,21.0,-1.0,-1.0,Denmark,37.0,4.0,9.0,
9,Australia,C,4.0,0.0,0.0,0.0,39.0,France,5.0,-1.0,-6.0,Denmark,22.0,-1.0,-3.0,Peru,38.0,,,
10,Peru,C,4.0,0.0,0.0,0.0,11.0,Denmark,6.0,,,France,21.0,1.0,1.0,Australia,38.0,,,
11,Denmark,C,4.0,0.0,0.0,0.0,12.0,Peru,6.0,,,Australia,22.0,1.0,3.0,France,37.0,-4.0,-9.0,
12,Argentina,D,16.0,2.0,5.0,5.0,4.0,Iceland,7.0,,,Croatia,23.0,1.0,0.0,Nigeria,39.0,3.0,1.0,
13,Iceland,D,0.0,0.0,0.0,0.0,22.0,Argentina,7.0,,,Nigeria,24.0,1.0,3.0,Croatia,40.0,-3.0,-9.0,
14,Croatia,D,4.0,0.0,0.0,1.0,17.0,Nigeria,8.0,,,Argentina,23.0,-1.0,0.0,Iceland,40.0,3.0,9.0,
15,Nigeria,D,5.0,0.0,0.0,0.0,50.0,Croatia,8.0,,,Iceland,24.0,-1.0,-3.0,Argentina,39.0,-3.0,-1.0,
16,Brazil,E,20.0,5.0,7.0,11.0,2.0,Switzerland,9.0,1.0,2.0,Costarica,25.0,8.0,19.0,Serbia,41.0,1.0,1.0,
17,Switzerland,E,10.0,0.0,0.0,0.0,8.0,Brazil,9.0,-1.0,-2.0,Serbia,26.0,,,Costarica,42.0,0.0,1.0,
18,Costarica,E,4.0,0.0,0.0,0.0,26.0,Serbia,10.0,,,Brazil,25.0,-8.0,-19.0,Switzerland,42.0,0.0,-1.0,
19,Serbia,E,11.0,0.0,0.0,2.0,37.0,Costarica,10.0,,,Switzerland,26.0,,,Brazil,41.0,-1.0,-1.0,
20,Germany,F,18.0,4.0,8.0,13.0,1.0,Mexico,11.0,4.0,13.0,Sweden,27.0,2.0,10.0,Korea,43.0,1.0,0.0,
21,Mexico,F,15.0,0.0,0.0,0.0,16.0,Germany,11.0,-4.0,-13.0,Korea,28.0,1.0,12.0,Sweden,44.0,-2.0,-3.0,
22,Sweden,F,11.0,0.0,1.0,4.0,18.0,Korea,12.0,1.0,2.0,Germany,27.0,-2.0,-10.0,Mexico,44.0,2.0,3.0,
23,Korea,F,9.0,0.0,0.0,1.0,59.0,Sweden,12.0,-1.0,-2.0,Mexico,28.0,-1.0,-10.0,Germany,43.0,-1.0,0.0,
24,Belgium,G,12.0,0.0,0.0,1.0,5.0,Panama,13.0,,,Tunisia,29.0,0.0,0.0,England,45.0,-17.0,-70.0,
25,Panama,G,0.0,0.0,0.0,0.0,56.0,Belgium,13.0,,,England,30.0,,,Tunisia,46.0,,,
26,Tunisia,G,4.0,0.0,0.0,0.0,27.0,England,14.0,-1.0,-2.0,Belgium,29.0,0.0,0.0,Panama,46.0,,,
27,England,G,14.0,1.0,1.0,2.0,15.0,Tunisia,14.0,1.0,2.0,Panama,30.0,,,Belgium,45.0,17.0,70.0,
28,Poland,H,7.0,0.0,0.0,2.0,7.0,Senegal,15.0,,,Columbia,31.0,,,Japan,47.0,2.0,3.0,
29,Senegal,H,1.0,0.0,0.0,0.0,23.0,Poland,15.0,,,Japan,32.0,2.0,3.0,Columbia,48.0,0.0,0.0,
30,Columbia,H,5.0,0.0,0.0,0.0,13.0,Japan,16.0,2.0,2.0,Poland,31.0,,,Senegal,48.0,0.0,0.0,
31,Japan,H,5.0,0.0,0.0,0.0,55.0,Columbia,16.0,-2.0,-2.0,Senegal,32.0,-2.0,-3.0,Poland,47.0,-2.0,-3.0,
32,,,,,,,,,,,,,,,,,,,,
